1;0;1737;9.700000;873;0.000000;0.0
1;1;1730;9.700000;866;0.570593;0.0
1;2;1723;9.700000;866;-0.820569;0.0
1;3;1723;9.700000;872;4.390002;0.0
1;4;1734;9.700000;872;1.803911;0.0
1;5;1732;9.700000;875;2.422043;0.0
2;0;2557;9.700000;1660;0.000000;0.0
2;1;2555;9.700000;1655;-0.349547;0.0
2;2;2549;9.700000;1659;4.670127;0.0
2;3;2562;9.700000;1656;1.179545;0.0
2;4;2555;9.700000;1661;3.647937;0.0
2;5;2562;9.700000;1665;2.460345;0.0
2;6;2559;9.700000;1663;2.704201;0.0
3;0;1197;9.900000;1491;0.000000;0.0
3;1;1191;9.900000;1476;-0.356411;0.0
3;2;1188;9.900000;1482;-0.963671;0.0
3;3;1204;9.900000;1485;1.449551;0.0
3;4;1189;9.900000;1487;-1.571415;0.0
3;5;1190;9.900000;1490;4.036960;0.0
3;6;1210;9.900000;1496;2.113320;0.0
4;0;4900;10.000000;474;0.000000;0.0
4;1;4894;10.000000;463;-0.786106;0.0
4;2;4901;10.000000;465;1.202981;0.0
4;3;4894;10.000000;470;3.886297;0.0
4;4;4904;10.000000;473;2.307912;0.0
5;0;4325;9.600000;1128;0.000000;0.0
5;1;4313;9.600000;1105;-0.816394;0.0
5;2;4321;9.600000;1101;-0.176731;0.0
5;3;4332;9.600000;1109;1.008206;0.0
5;4;4312;9.600000;1113;-1.471748;0.0
5;5;4328;9.600000;1116;1.913181;0.0
5;6;4319;9.600000;1123;3.590590;0.0
5;7;4330;9.600000;1124;2.517657;0.0
5;8;4323;9.600000;1131;3.196295;0.0
5;9;4329;9.600000;1132;2.834934;0.0
6;0;4293;9.600000;1232;0.000000;0.0
6;1;4287;9.600000;1227;-0.105671;0.0
6;2;4292;9.600000;1230;0.982120;0.0
6;3;4284;9.600000;1231;-1.249682;0.0
6;4;4279;9.600000;1238;4.156227;0.0
6;5;4292;9.600000;1238;2.417895;0.0
7;0;4305;10.100000;1425;0.000000;0.0
7;1;4307;10.100000;1424;-0.000796;0.0
7;2;4301;10.100000;1430;4.659187;0.0
7;3;4310;10.100000;1427;0.884377;0.0
