0;0;0;0;land;false;unknown;0
1;2;1;1;land;false;jungle;2
2;3;1;1;land;true;forest;4
3;4;1;1;land;false;plains;3
4;5;1;1;land;false;jungle;1
5;6;1;1;land;true;jungle;4
6;7;1;1;land;true;plains;4
7;8;1;1;land;false;plains;4
8;9;1;1;land;false;jungle;4
9;10;1;1;land;false;forest;4
10;11;1;1;land;false;forest;4
11;12;1;1;land;false;hills;4
12;13;1;1;land;false;jungle;2
13;14;1;1;land;false;plains;2
14;15;1;1;land;false;jungle;4
15;16;1;1;land;false;forest;4
16;17;1;1;land;true;forest;4
17;18;1;1;land;false;plains;4
18;19;1;1;land;false;mountain;4
19;20;1;1;land;false;forest;3
20;21;1;1;land;true;forest;3
21;22;1;1;land;true;jungle;2
22;23;1;1;land;false;forest;4
23;24;1;1;land;false;plains;4
24;25;1;1;land;false;hills;4
25;26;1;1;land;false;hills;3
26;27;1;1;land;false;mountain;4
27;28;1;1;land;true;jungle;4
28;29;1;1;land;true;plains;4
29;30;1;1;land;false;plains;4
30;31;1;1;land;false;jungle;2
31;32;1;1;land;false;hills;4
32;33;1;1;land;false;plains;3
33;34;1;1;land;false;plains;1
34;35;1;1;land;true;desert;4
35;36;1;1;land;false;forest;3
36;37;1;1;land;true;jungle;4
37;38;1;1;land;false;jungle;4
38;39;1;1;land;false;desert;2
39;40;1;1;land;false;plains;2
40;41;1;1;land;false;forest;4
41;42;1;1;land;false;forest;3
42;43;1;1;land;false;jungle;4
43;44;1;1;land;false;forest;4
44;45;1;1;land;false;jungle;2
45;46;1;1;land;false;forest;3
46;47;1;1;land;false;hills;3
47;48;1;1;land;false;forest;4
48;49;1;1;land;false;plains;4
49;50;1;1;land;false;hills;3
50;51;1;1;land;false;forest;4
51;52;1;1;land;true;jungle;3
52;53;1;1;land;false;plains;3
53;54;1;1;land;false;plains;3
54;55;1;1;land;false;forest;3
55;56;1;1;land;false;hills;4
56;57;1;1;land;false;forest;3
57;58;1;1;land;false;plains;2
58;59;1;1;land;true;plains;4
59;60;1;1;land;true;jungle;2
60;61;1;1;land;true;forest;3
61;62;1;1;land;true;forest;4
62;63;1;1;land;false;forest;4
63;64;1;1;land;false;forest;3
64;65;1;1;land;false;plains;4
65;66;1;1;land;false;desert;4
66;67;1;1;land;true;jungle;4
67;68;1;1;land;false;plains;1
68;69;1;1;land;true;jungle;4
69;70;1;1;land;false;jungle;3
70;71;1;1;land;false;forest;4
71;72;1;1;land;false;plains;4
72;73;1;1;land;true;plains;2
73;74;1;1;land;true;forest;3
74;75;1;1;land;true;jungle;3
75;76;1;1;land;false;forest;3
76;77;1;1;land;true;forest;4
77;78;1;1;land;true;plains;1
78;79;1;1;land;false;plains;1
79;80;1;1;land;false;hills;3
80;81;1;1;land;false;forest;3
81;82;1;1;land;true;forest;3
82;83;1;1;land;false;jungle;3
83;84;1;1;land;true;plains;2
84;85;1;1;land;false;hills;4
85;86;1;1;land;false;mountain;4
86;87;1;1;land;false;hills;4
87;88;1;1;land;false;plains;3
88;89;1;1;land;false;plains;3
89;90;1;1;land;true;plains;4
90;91;1;1;land;false;hills;4
91;92;1;1;land;true;forest;3
92;93;1;1;land;false;plains;1
93;94;1;1;land;false;desert;4
94;95;1;1;land;false;plains;4
95;96;1;1;land;false;plains;4
96;97;1;1;land;false;forest;1
97;98;1;1;land;false;forest;4
98;99;1;1;land;false;plains;4
99;100;1;1;land;true;forest;4
100;101;1;1;land;false;forest;4
101;102;1;1;land;false;plains;4
102;103;1;1;land;false;hills;4
103;104;1;1;land;true;forest;3
104;105;1;1;land;false;forest;4
105;106;1;1;land;false;hills;2
106;107;1;1;land;false;forest;3
107;108;1;1;land;true;jungle;4
108;109;1;1;land;false;forest;4
109;110;1;1;land;false;jungle;4
110;111;1;1;land;true;forest;4
111;112;1;1;land;true;forest;4
112;113;1;1;land;true;forest;4
113;114;1;1;land;false;hills;4
114;115;1;1;land;false;forest;3
115;116;1;1;land;false;plains;1
116;117;1;1;land;false;plains;2
117;118;1;1;land;false;plains;4
118;119;1;1;land;false;forest;4
119;120;1;1;land;false;forest;4
120;121;1;1;land;false;mountain;4
121;122;1;1;land;false;hills;4
122;123;1;1;land;false;plains;4
123;124;1;1;land;false;plains;3
124;125;1;1;land;false;plains;4
125;126;1;1;land;false;hills;3
126;127;1;1;land;false;mountain;4
127;128;1;1;land;true;jungle;4
128;129;1;1;land;true;jungle;4
129;130;1;1;land;true;jungle;4
130;131;1;1;land;false;jungle;4
131;132;1;1;land;false;plains;4
132;133;1;1;land;false;forest;3
133;134;1;1;land;true;desert;4
134;135;1;1;land;false;forest;4
135;136;1;1;land;false;desert;4
136;137;1;1;land;false;desert;4
137;138;1;1;land;false;mountain;2
138;139;1;1;land;false;hills;4
139;140;1;1;land;false;plains;4
140;141;1;1;land;false;forest;3
141;142;1;1;land;true;jungle;2
142;143;1;1;land;false;plains;1
143;144;1;1;land;false;forest;3
144;145;1;1;land;false;jungle;3
145;146;1;1;land;false;hills;1
146;147;1;1;land;false;forest;4
147;148;1;1;land;false;plains;1
148;149;1;1;land;false;jungle;4
149;150;1;1;land;false;forest;3
150;151;1;1;land;false;forest;3
151;152;1;1;land;false;forest;4
152;153;1;1;land;false;forest;4
153;154;1;1;land;false;hills;4
154;155;1;1;land;false;desert;4
155;156;1;1;land;false;forest;3
156;157;1;1;land;false;forest;4
157;158;1;1;land;true;forest;3
158;159;1;1;land;false;forest;4
159;160;1;1;land;false;plains;1
160;161;1;1;land;false;forest;4
