77;floating_harbor;3256.43;9.50;1385.24;-1.98;11597
85;floating_harbor;3111.82;9.50;1613.88;-0.98;362
145;floating_harbor;3128.95;9.50;1747.95;-0.79;9228
163;floating_harbor;3039.36;9.50;1389.79;-4.39;3943
178;floating_harbor;2540.00;9.50;1113.00;1.57;13071
188;floating_harbor;3126.36;9.50;1636.21;1.25;3288
189;floating_harbor;3127.07;9.50;1642.01;-4.57;6314
270;floating_harbor;1067.00;9.50;304.00;-2.23;1280
281;floating_harbor;3939.33;9.50;745.97;0.10;4967
291;floating_harbor;3564.53;9.50;1140.49;-1.94;2089
299;floating_harbor;1886.63;9.50;86.47;0.67;12960
310;floating_harbor;1989.23;9.50;954.65;-0.84;12885
311;floating_harbor;1433.00;9.50;1146.00;-1.57;2077
320;floating_harbor;4059.79;9.50;838.30;-1.82;10149
321;floating_harbor;3950.21;9.50;892.30;-4.47;1273
326;floating_harbor;4586.00;9.50;1004.00;-3.14;10062
360;floating_harbor;1647.00;9.50;1506.00;-2.68;6845
1;floating_harbor;2961.26;9.50;1363.87;-2.03;9851
2;floating_harbor;2989.05;9.50;1354.05;-3.93;11751
5;floating_harbor;3111.84;9.50;1614.40;-0.42;3380
6;floating_harbor;2848.18;9.50;1546.88;0.98;6560
7;floating_harbor;2883.00;9.50;1587.00;0.00;3314
13;floating_harbor;3177.87;9.50;1690.74;-3.61;3174
14;floating_harbor;2765.00;9.50;1497.00;0.00;9525
21;floating_harbor;2884.05;9.50;1380.05;-3.93;11834
22;floating_harbor;2871.13;9.50;1381.74;-2.68;9898
23;floating_harbor;2784.14;9.50;1426.63;-4.51;9597
29;floating_harbor;2816.00;9.50;1519.00;-4.33;9500
30;floating_harbor;2763.74;9.50;1459.87;-4.25;11465
31;floating_harbor;2861.00;9.50;1380.00;-1.57;3946
35;floating_harbor;2866.13;9.50;1551.26;-0.46;480
36;floating_harbor;2901.01;9.50;1595.93;0.14;9335
46;floating_harbor;3269.82;9.50;1413.12;-2.16;687
47;floating_harbor;3182.95;9.50;1280.05;-2.36;4109
56;floating_harbor;2935.13;9.50;1597.26;-0.46;241
59;floating_harbor;2951.63;9.50;1596.47;0.67;6325
61;floating_harbor;2999.60;9.50;1612.50;-0.38;321
62;floating_harbor;3029.73;9.50;1602.92;-1.29;3340
63;floating_harbor;3079.30;9.50;1624.79;0.24;11343
103;floating_harbor;3035.74;9.50;1410.13;1.11;11901
105;floating_harbor;3101.40;9.50;1354.50;-3.52;9809
112;floating_harbor;2663.36;9.50;1340.21;1.25;6924
113;floating_harbor;2707.86;9.50;1591.37;-1.37;7377
114;floating_harbor;2930.00;9.50;1326.00;1.57;11824
129;floating_harbor;2822.00;9.50;1598.00;-1.78;9250
132;floating_harbor;2744.18;9.50;1615.88;0.98;6335
134;floating_harbor;2635.74;9.50;1598.87;-4.25;9369
135;floating_harbor;2684.13;9.50;1565.74;-2.68;11237
136;floating_harbor;2767.26;9.50;1673.87;-2.03;11136
146;floating_harbor;3246.10;9.50;1743.85;-4.55;9100
156;floating_harbor;3048.50;9.50;1302.60;1.19;12066
157;floating_harbor;3036.95;9.50;1371.95;-0.79;6831
158;floating_harbor;2949.00;9.50;1397.00;-3.14;6788
160;floating_harbor;3004.95;9.50;1420.87;-1.45;9582
161;floating_harbor;3006.00;9.50;1414.00;-1.57;6793
162;floating_harbor;2956.05;9.50;1394.05;-3.93;6973
165;floating_harbor;2840.13;9.50;1341.74;-2.68;9764
167;floating_harbor;2809.00;9.50;1311.60;-1.03;6959
168;floating_harbor;2797.60;9.50;1275.80;-2.21;10024
173;floating_harbor;2749.00;9.50;1255.00;-3.14;10063
177;floating_harbor;2842.36;9.50;1312.79;-4.39;9793
179;floating_harbor;2663.18;9.50;1286.88;0.98;3866
182;floating_harbor;3191.12;9.50;1224.18;-3.73;9940
183;floating_harbor;3307.40;9.50;1221.80;-4.07;7193
184;floating_harbor;3198.30;9.50;1333.21;-3.39;11774
185;floating_harbor;3093.00;9.50;1316.00;1.53;10203
186;floating_harbor;3132.00;9.50;1278.00;-4.11;7211
187;floating_harbor;3215.00;9.50;1272.00;-3.93;6550
195;floating_harbor;3232.00;9.50;1735.00;1.57;3151
197;floating_harbor;3295.00;9.50;1420.00;-3.31;11546
200;floating_harbor;3372.95;9.50;1444.05;-2.36;9729
208;floating_harbor;3232.00;9.50;1735.00;1.57;9097
211;floating_harbor;3245.50;9.50;1368.60;-1.19;9902
213;floating_harbor;3328.31;9.50;1977.56;-0.86;11183
215;floating_harbor;3375.95;9.50;1839.95;-0.79;9055
227;floating_harbor;3401.21;9.50;1452.36;-2.82;3421
231;floating_harbor;3449.07;9.50;1362.01;-4.57;772
268;floating_harbor;3485.26;9.50;837.87;-2.03;4985
269;floating_harbor;3565.13;9.50;836.26;-0.46;10921
274;floating_harbor;2776.06;9.50;721.08;-2.99;12742
278;floating_harbor;1929.00;9.50;272.00;-2.08;12364
279;floating_harbor;1656.00;9.50;186.00;1.47;12954
282;floating_harbor;5007.26;9.50;1254.87;-2.03;7016
284;floating_harbor;5549.40;9.50;131.00;-3.68;12617
285;floating_harbor;5142.86;9.50;142.63;-1.77;12406
286;floating_harbor;4511.50;9.50;825.40;-1.95;12204
288;floating_harbor;4295.00;9.50;897.00;-3.14;12267
289;floating_harbor;4403.00;9.50;836.00;-3.14;7292
290;floating_harbor;2733.60;9.50;1244.00;-0.54;12087
293;floating_harbor;3472.05;9.50;869.13;-4.59;10752
294;floating_harbor;3743.82;9.50;1012.57;-1.34;8020
296;floating_harbor;2560.11;9.50;835.75;-4.53;12747
297;floating_harbor;2949.00;9.50;705.00;-1.57;1903
298;floating_harbor;2629.24;9.50;749.02;-4.11;7959
300;floating_harbor;1929.00;9.50;272.00;-2.45;10502
303;floating_harbor;1584.74;9.50;693.87;-4.25;12983
304;floating_harbor;1567.18;9.50;1008.12;-4.12;7630
305;floating_harbor;1549.00;9.50;874.00;1.57;8047
306;floating_harbor;1593.24;9.50;928.98;0.97;7936
307;floating_harbor;1834.88;9.50;1033.82;-0.59;10823
308;floating_harbor;1822.18;9.50;1150.88;0.98;4450
309;floating_harbor;1947.37;9.50;971.99;-0.05;10906
312;floating_harbor;1441.29;9.50;1130.18;-0.49;8017
313;floating_harbor;1385.08;9.50;1085.27;-3.42;10886
315;floating_harbor;1529.05;9.50;1223.05;-3.93;10498
316;floating_harbor;1477.88;9.50;1021.60;-4.21;13087
317;floating_harbor;1508.83;9.50;1083.48;-1.79;2075
318;floating_harbor;1650.87;9.50;1156.74;-3.61;1635
327;floating_harbor;4659.00;9.50;887.00;1.36;10265
331;floating_harbor;1942.00;9.50;1660.00;-2.99;12680
333;floating_harbor;4537.21;9.50;687.70;1.33;12283
339;floating_harbor;3226.00;9.50;1270.40;-4.17;10038
340;floating_harbor;3238.00;9.50;1335.00;1.27;11867
